,post_id,text,annotatorid1,target1,label1,annotatorid2,target2,label2,annotatorid3,target3,label3,rationales,final_label,final_target_category
0,1179055004553900032_twitter,"['i', 'dont', 'think', 'im', 'getting', 'my', 'baby', 'them', 'white', '9', 'he', 'has', 'two', 'white', 'j', 'and', 'nikes', 'not', 'even', 'touched']",1,['None'],normal,2,['None'],normal,3,['None'],normal,[],normal,
5,13851720_gab,"['laura', 'loomer', 'raped', 'me', 'while', 'screaming', 'at', 'me', 'in', 'her', 'disgusting', 'kike', 'language', 'and', 'said', 'we', 'must', 'exterminate', 'the', 'goyim', 'laura', 'loomer', 'loomergate']",1,['Jewish'],hatespeech,2,['Jewish'],hatespeech,3,['Jewish'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]]",hatespeech,['Jewish']
17,1178818409812746240_twitter,"['<user>', 'what', 'did', 'the', 'old', 'lady', 'do', 'was', 'she', 'a', 'nazi', 'or', 'white', 'supremacist']",9,['None'],normal,10,['None'],normal,4,['None'],normal,[],normal,
25,19346774_gab,"['as', 'much', 'as', 'i', 'appreciate', 'a', 'format', 'of', 'open', 'discussion', 'i', 'really', 'just', 'want', 'a', 'facebook', 'that', 'i', 'can', 'say', 'beaner', 'on']",9,['None'],normal,13,['None'],normal,4,['Hispanic'],offensive,[],normal,
36,1165819983701643266_twitter,"['sex', 'be', 'so', 'good', 'a', 'bitch', 'be', 'slow', 'stroking', 'and', 'crying']",4,['Women'],offensive,7,['Women'],offensive,16,['None'],normal,"[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",offensive,['Women']
39,1178376939117121537_twitter,"['<user>', '<user>', '<user>', 'with', 'a', 'room', 'full', 'of', 'white', 'folks']",1,['None'],normal,17,['None'],normal,9,['None'],normal,[],normal,
47,1162817415685857280_twitter,"['i', 'do', 'not', 'blame', 'orlando', 'pie', 'rats', 'for', 'loosing', 'like', 'this', 'they', 'are', 'drunk', 'from', 'that', 'black', 'label', '😂', '😂', '😂', 'mtn', '8', 'ss', 'diski', 'wafa', 'wafa']",6,['None'],normal,8,['None'],normal,20,['None'],normal,[],normal,
62,16637220_gab,"['they', 'are', 'going', 'to', 'figure', 'out', 'a', 'way', 'to', 'kike', 'bitcoin']",23,['Jewish'],hatespeech,24,['Jewish'],hatespeech,4,['Jewish'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",hatespeech,['Jewish']
103,1178082052513468417_twitter,"['<user>', '<user>', 'a', 'camel', 'jockey', 'midde', 'east', 'watering', 'station']",4,['Arab'],normal,18,['None'],normal,33,['Arab'],offensive,[],normal,['Arab']
119,1116946053478125571_twitter,"['then', 'hoes', 'stole', 'my', 'choreo', 'and', 'still', 'managed', 'to', 'make', 'it', 'look', 'bad', 'and', 'lose', 'with', 'it', 'lmfao']",25,['Women'],offensive,4,['Women'],offensive,3,['Women'],offensive,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Women']
